distortion|zniekształcenie, przeinaczenie
miscellaneous|rozmaity, różnorodny, pomieszany 
humble|pokorny, skromny
meticulous|skrupulatny, drobiazgowy
malicious|złośliwy, podły
to curb|powściągać, pohamowywać (np. złość, pożądanie)
carcass|tusza, ścierwo, tłusty tyłek
repugnant|wstrętny, odrażający (np. o zachowaniu)
to spring for|wyskakiwać z kasy na coś
to shell out|wyłożyć pieniądze, bulić za coś
curb|krawężnik
to go halves|dzielić się czymś równo
to hold out|wytrzymać (np. samochód)
jalopy|gruchot
to pull over|zjechać na pobocze
hedge|żywopłot
porch|ganek, weranda
crowbar|łom
piece of junk|badziewie
it's gonna run sb a lot of money|to będzie kogoś kosztować
to kick in|dołożyć się, zrzucić się (wspólny cel)
wet blanket|malkontent, maruda
sustainable|zrównoważony, nienaruszający równowagi ekologicznej, długofalowy, trwały (np. wzrost)
to sort out|rozwiązać, uporządkować, sortować, załatwić
recon|rozpoznanie (skrót od reconnaissance)
unskilled job|praca niewymagająca kwalifikacji
industry|przemysł, branża
to have bad luck|mieć pecha
to cut|ciąć, kroić, obciąć, skaleczyć się, pójść na skróty
cut|redukcja, skaleczenie
achievable|osiągalny, możliwy do osiągnięcia
attainable|realny, osiągalny (np. plan)
stork|bocian
goat|kozioł
tentatively|wstępnie, niezobowiązująco
remorse|wyrzuty sumienia
medical facility|placówka medyczna
imposing|imponujący
to impose|narzucać się
imposter|oszust
imposture|oszustwo, mistyfikacja (konkretne działanie, cecha)
to pretend|udawać kogoś
forged|podrobiony
statue|posąg, statua
feline|koci (bardzo formalne i faktycznie odnoszące się do kotów)
peer, age-mate|rówieśnik
on social media|na social mediach
to feel sick/unwell|czuć się chorym
to feel bad|czuć się źle emocjonalnie
on the other hand|z drugiej strony
to exclude|wykluczyć
knitting|robienie na drutach
to listen to podcasts|słuchać podcastów
demanding|wymagające
to reduce|zmniejszyć (ryzyko, koszt)
to decrease|zmniejszyć (szanse)
insecurity|niepewność
predator|drapieżnik
Nobel laureate|laureat nagrody nobla
exponential|wykładniczy, gwałtownie rosnący

consciousness|przytomność
to hallucinate|halucynować
to remind sb of sth|przypomnieć komuś coś
to brush up on sth|przypomnieć sobie coś
to recall|przypominać kogoś/coś
to bring to mind|przypomnieć, przywodzić na myśl
to bring sth back|przypomnieć coś sobie
labour|praca, głównie fizyczna
labor|koszt pracy
pros and cons|zalety i wady
outdoor|na zewnątrz
diversity|różnorodność
buildup|nasilenie się
obsolete|przestarzały
lifespan|żywotność
to drain|wysysać
in terms of|z punktu widzenia
electonic(s) engineer|elektronik
anecdotal evidence|dowód anegdotyczny
short circuit|zwarcie
extension cord|przedłużacz
moisture|wilgoć
escape hatch|luka bezpieczeństwa
to consider|rozważać
to concern|martwić
to rephrase|parafrazować
to make a complaint|wnosić skargę
to move in|wprowadzić się
refrigerator|lodówka
to tempt|kusić
to chip in|zrzucać się, dołożyć się (np. czynsz)
obsolescence|starzenie się, wychodzenie z użycia
printer ink|tusz do drukarki
interchangeable|wymienialny
to interchange|wymienić
parts pairing|łączenie komponentów urządzenia przez software
sacrifice|poświęcenie
liability|odpowiedzialność prawna
E-waste|elektroniczne odpadki
to sue|pozwać
shoddy|tandetny, partacki
excuse|wymówka
to exude|wydzielać substancje
idea|pomysł
space|kosmos
communication vessels|naczynia połączone
to function|funkcjonować
resilient|odporny
fragile|kruchy, delikatny
causality|przyczynowość
too much information|zbyt dużo informacji
to make food|robić jedzenie
awareness|świadomość
bizzare|dziwaczne
eminence|sława, renoma
eye-opening|otwierające oczy
reputable|zaszczytny, poważany, szanowany
threatening|groźny
to threaten|grozić, straszyć
to manipulate|manipulować, sterować
invasive|inwazyjny, rozprzestrzeniający się
to be really great at something|być naprawdę w czymś dobrym
artifical|sztuczne, stworzone przez człowieka
fickle|kapryśny, zmienny, niestały
we’re not as critically towards ourselves as we should/ ought to be|nie jesteśmy krytyczni wobec siebie jak powinniśmy być
to take sb on a trip|zabrać kogoś na wycieczkę
to take up space|zabierać miejsce
to make a calculated decision|podjąć świadomą, przeanalizowaną decyzję
in the realm of possibility|w swerze możliwości
to meet needs|spełniać, zaspokajać potrzeby
womb|macica
mental health|zdrowie psychiczne
to make new friends|poznawać nowych przyjaciół
yes-man|osoba zgadzająca się ze wszystkim co zostało powiedziane
one-sided|jednostronne
critically aclaimed|uznany przez krytyków
ins and outs|tajniki, szczegóły
to get fresh air|zaczerpnąć świeżego powietrza
moldable|dający się kształtować
vivacious|pełen życia, żywy
hectic|gorączkowy, intensywny
regarded|szanowany, uważany
gown|suknia, toga, fartuch
windowsill|parapet
trolley|wózek
junction|skrzyżowanie, zbieg, węzeł
to usher|wprowadzać, zaprowadzać, odprowadzać
operating theatre|sala operacyjna
cannula|kaniula, rurka
bloodstream|krwiobieg
laryngeal mask|maska krtaniowa
inflatable pouch|nadmuchiwany worek/etui
airway|drogi oddechowe
tracheal intubation|intubacja dotchawicza
ventilation|wentylacja, sztuczne oddychanie
palate|podniebienie
to swell|puchnąć, nabrzmiewać
disastrous|katastrofalny
setback|niepowodzenie, przeszkoda
to dart out|wyskoczyć, wybiec
to shot glance back|rzucić okiem, obejrzeć się
to conceal|ukrywać, zatajać
to crane|wyciągać szyję
to hesitate|wahać się
culpable|zawiniony, karygodny
elevated|podniesiony, podwyższony
frantic|oszalały, szalony, gorączkowy
to agonise over|dręczyć się (czymś), martwić się
to astound|zdumiewać, zadziwiać
irreparable|nieodwracalny
deteriorating|pogarszający się
anaesthetist|anestezjolog
futile|daremnie, bezcelowy
to nod|kiwać głową
facet|aspekt, strona
strand|pasmo, nić, kosmyk
hinge|zawias
to endure|znosić, wytrzymywać
to flunk|oblać (egzamin)
glimpse|mignięcie, przebłysk
inextricable|nierozerwalny, nierozwikłany
profound|dogłębny, głęboki
divergent|rozbieżny
to excavate|wykopywać
deliberate|umyślny, celowy
to grapple|borykać się, zmagać się
unforeseen|nieprzewidziany
contingency|sytuacja awaryjna, nieprzewidziany wypadek
preventable|możliwy do uniknięcia
comprehensive|kompleksowy, wyczerpujący
ulcer|wrzód
rigorous|rygorystyczny
non-lethal|nieśmiertelny
to undergo|przechodzić, poddawać się (czemuś)
bilateral|dwustronny
acute|ostry (np. ból, choroba)
homicidal|morderczy
havoc|spustoszenie, zniszczenie
bell-shaped|w kształcie dzwonu
malign|złośliwy (np. nowotwór)
diligence|staranność, pilność
ample|obfity, wystarczający
scarce|rzadki, deficytowy
cliche|klisza, banał
obstacle|przeszkoda
evasion|unikanie, wymijanie
cornerstone|kamień węgielny, podstawa
slip|poślizgnięcie, potknięcie, błąd
lapse|uchybienie, błąd, przerwa
omission|pominięcie, zaniedbanie
prickly|kłujący, drażliwy
altogether|całkowicie, w sumie
liable|odpowiedzialny, zobowiązany
inept|nieudolny, niekompetentny
contradictory|sprzeczny
aftermath|następstwa, skutki
culprit|sprawca, winowajca
scapegoat|kozła ofiarnego
indignation|oburzenie
to anticipate|przewidywać, oczekiwać
to obliterate|zmazywać, niszczyć
cover-up|próba zatuszowania
vague|niejasny, mętny
gaffe|gafa, wpadka
to stigmatise|piętnować
bloodletting|upuszczanie krwi, krwawienie
to devise|opracować, wymyślić
vulnerable|bezbronny, podatny na zranienie
flaw|wada, skaza
willingness|chęć, gotowość
grip|uchwyt, kontrola
fostering|wspieranie, pielęgnowanie
digigent|staranny
to emphasise|podkreślać, akcentować
to evoke|wywoływać, przywoływać
susceptible|podatny, wrażliwy
vulnerable|wrażliwy, bezbronny
backlash|ostry sprzeciw, negatywna reakcja
to undermine|podważać, osłabiać
to reinforce|wzmacniać
to disclose|ujawniać, wyjawiać
to anticipate|przewidywać, oczekiwać
to mitigate|łagodzić, zmniejszać
hoopla|szum, wrzawa
fonder|czulszy, bardziej lubiący
exposed, defenseless|odsłonięty, bezbronny
to trigger|wywoływać, spust
more loving|bardziej kochający, czulszy
stress|stres, nacisk, podkreślać
to reduce|redukować, zmniejszać
to predict|przewidywać
to sabotage|sabotować
to reveal|ujawniać, wyjawiać
to solidify|umacniać, utrwalać
negative reaction|negatywna reakcja
prone|podatny, skłonny
publicity|rozgłos, reklama
to grieve|opłakiwać
to stroke|głaskać
rebuffed|odrzucony
to linger|zwlekać
factual|faktyczny
concealment|ukrywanie
unanticipated|nieprzewidziany
disclosure|ujawnienie
nondisclosure|nieujawnienie
to deceive|oszukiwać
evasion|unikanie
deceit|oszustwo
to pull the wool over the eye|mamić
litigation|spór sądowy
negligence|zaniedbanie
ineptness|nieudolność
physician|lekarz
to fluff|puszyć się
arduous|żmudny
iatrogenic|jatrogenny
inadvertently|nieumyślnie
to disclose|ujawniać
voluntarily|dobrowolnie
to morph|przekształcać się
insurmountable|nie do pokonania
to undermine|podważać
grieving|opłakiwanie
botched|spartaczony
indictment|akt oskarżenia
seemingly|pozornie
inexplicable|niewytłumaczalny
to retract the flap|chować klapę
to bellyflop|lądować nieudolnie
overnight|z dnia na dzień
reputational|reputacyjny
incentive|zachęta
institutionalized|zinstytucjonalizowany
dispersed|rozproszony
to excavate|wydobywać
to ignite|zapalać, zapalać się, powodować zapłon
barnstormer|lotnik akrobata
undercarriage|podwozie
thud|głuchy odgłos
to reverberate|rozbrzmiewać
shudder|drżenie
wing tip|końcówka skrzydła
to ponder|rozważać
speck|kropka
to agitate|agitować
anxiety|niepokój
adamant|nieugięty
dwindling|malejący
incredulity|niedowierzanie
diminishing|zmniejszający
to disintegrate|rozdrabniać, rozkruszać
incredulous|niedowierzający
to flame out|wypalić się
watershed|przełom
to oversee|nadzorować
to agonize|dręczyć się
intimidated|zastraszony
inhibiting|hamujący
hardwired|zaprogramowany
skirting|omijanie
rein|wodza, cugiel
to interrogate|przesłuchiwać
inadmissible|niedopuszczalny
aftermath|następstwo
havoc|spustoszenie
to mistake|pomylić
latent|utajony
jurisdiction|jurysdykcja
deviation|odchylenie
excessive|nadmierny
defective|wadliwy
with a fine-tooth comb|dokładnie, drobiazgowo
ploughed|zaorany
obliterated|zatarty
fuselage|kadłub
fatality|śmiertelny wypadek
scarce|rzadki, deficytowy
to inhibit|hamować
imperative|konieczny
reticence|powściągliwość
diligence|staranność
to perpetuate|utrwalać
merit|zasługa
guise|przebranie
to exploit|wykorzystywać
subtlety|subtelność
signpost|drogowskaz
inscrutable|niezbadany
wrongheaded|błędny
liability|zobowiązanie
efficacy|skuteczność
indispensable|niezbędny
flawlessly|bezbłędnie
to harness|wykorzystywać
to endure|wytrzymywać
adverse|niekorzystny
hindsight|ogląd
ambiguous|niejednoznaczny
to cite|cytować
ingenious|pomysłowy
to streamline|nadać opływowy kształt, usprawnić
to pass on|przekazać komuś coś (np. wiedzę)
hassle|kłopot, zawracanie głowy
newcomer|nowicjusz, przybysz, nowo zatrudniony
reliable|solidny, niezawodny, wiarygodny
killing two birds with one stone|łączenie przyjemnego z pożytecznym




